Ticker,Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common),Zombie Indicator
ARWR,2020-09-30,952053,USD,2020,FY,2020-11-23,2022-11-28,100722224.0,100722224.0,87992000.0,,,-181151000.0,-52276000.0,-128875000.0,,-93159000,8608000.0,9191000.0,-84551000,,-84551000,-2000.0,-84553000,,-84553000,-84553000,-10.135893809161136
ARWR,2021-09-30,952053,USD,2021,FY,2021-11-22,2022-11-28,104099000.0,104099000.0,138287000.0,,,-287323000.0,-80981000.0,-206342000.0,,-149036000,8190000.0,6120000.0,-140846000,,-140846000,-2000.0,-140848000,,-140848000,-140848000,-24.352287581699347
ASTC,2017-06-30,671045,USD,2017,FY,2017-09-18,2017-09-18,135984.0,135984.0,2328000.0,-1293000.0,1035000.0,-13095000.0,-7508000.0,-5587000.0,,-12060000,306000.0,306000.0,-11754000,,-11754000,-2000.0,-11756000,,-11582000,-11582000,-39.411764705882355
ASTC,2018-06-30,671045,USD,2018,FY,2018-10-26,2018-10-26,135231.0,135231.0,86000.0,-36000.0,50000.0,-11694000.0,-5629000.0,-6065000.0,,-11644000,86000.0,86000.0,-11558000,-1693000.0,-13251000,0.0,-13251000,,-13251000,-13251000,-135.3953488372093
ASTC,2019-06-30,671045,USD,2019,FY,2019-09-30,2019-09-30,164502.0,164502.0,127000.0,-90000.0,37000.0,-8454000.0,-4876000.0,-3578000.0,,-8417000,25000.0,25000.0,-8392000,0.0,-8392000,858000.0,-7534000,,-7534000,-7534000,-336.68
ATOM,2017-12-31,1070617,USD,2017,FY,2018-03-06,2019-03-11,12124000.0,12124000.0,110000.0,-39000.0,71000.0,-13281000.0,-7455000.0,-5826000.0,,-13210000,142000.0,148000.0,-13068000,,-13068000,,-13068000,,-13068000,-13068000,-89.25675675675676
ATOM,2018-12-31,1070617,USD,2018,FY,2019-03-11,2020-03-13,12655000.0,12655000.0,246000.0,-148000.0,98000.0,-13231000.0,-5913000.0,-7318000.0,,-13133000,236000.0,236000.0,-12897000,,-12897000,,-12897000,,-12897000,-12897000,-55.648305084745765
ATOM,2019-12-31,1070617,USD,2019,FY,2020-03-13,2021-02-19,15852000.0,15852000.0,533000.0,-253000.0,280000.0,-13905000.0,-6157000.0,-7748000.0,,-13625000,325000.0,325000.0,-13300000,,-13300000,,-13300000,,-13300000,-13300000,-41.92307692307692
ATOM,2020-12-31,1070617,USD,2020,FY,2021-02-19,2022-02-15,18752000.0,18752000.0,62000.0,-13000.0,49000.0,-14969000.0,-6545000.0,-8424000.0,,-14920000,42000.0,42000.0,-14878000,,-14878000,,-14878000,,-14878000,-14878000,-355.23809523809524
AVLR,2019-12-31,989057,USD,2019,FY,2020-02-24,2022-05-05,73345000.0,73345000.0,382421000.0,-115529000.0,266892000.0,-324501000.0,-241512000.0,-82989000.0,,-57609000,5570000.0,5748000.0,-52039000,1043000.0,-50996000,-955000.0,-51951000,,-51951000,-51951000,-10.022442588726513
AVLR,2020-12-31,989057,USD,2020,FY,2021-02-25,2022-05-05,80985000.0,80985000.0,500569000.0,-143789000.0,356780000.0,-424885000.0,-303307000.0,-121578000.0,,-68105000,2151000.0,1678000.0,-65954000,2325000.0,-63629000,8309000.0,-55320000,,-55320000,-55320000,-40.58700834326579
AVNW,2017-06-30,208290,USD,2017,FY,2017-09-06,2018-08-28,10584000.0,10584000.0,241874000.0,-166402000.0,75472000.0,-76457000.0,-57184000.0,-18684000.0,,-985000,211000.0,211000.0,-774000,169000.0,-605000,-16000.0,-621000,0.0,-823000,-823000,-4.668246445497631
AVXL,2017-09-30,436223,USD,2017,FY,2017-12-11,2018-12-12,40841033.0,40841033.0,2163844.0,,,-15680361.0,-5008275.0,-10672086.0,,-13516517,40515.0,88098.0,-13476002,75204.0,-13400798,-59607.0,-13460405,,-13460405,-13460405,-153.42592340348247
AVXL,2018-09-30,436223,USD,2018,FY,2018-12-12,2018-12-12,44655725.0,44655725.0,1778568.0,,,-19333591.0,-5989170.0,-13344421.0,,-17555023,205303.0,255092.0,-17349720,-30943.0,-17380663,-72746.0,-17453409,,-17453409,-17453409,-68.81839885217882
AVXL,2019-09-30,436223,USD,2019,FY,2019-12-16,2020-12-28,48906470.0,48906470.0,2764634.0,,,-29106948.0,-6846599.0,-22260349.0,,-26342314,164891.0,207280.0,-26177423,-35375.0,-26212798,82181.0,-26130617,,-26130617,-26130617,-127.08565225781551
AVXL,2020-09-30,436223,USD,2020,FY,2020-12-28,2022-11-28,58194894.0,58194894.0,4524913.0,,,-31088232.0,-5856609.0,-25231623.0,,-26563319,305513.0,179973.0,-26257806,,-26257806,-22664.0,-26280470,,-26280470,-26280470,-147.59613386452412
AVXL,2021-09-30,436223,USD,2021,FY,2021-11-24,2022-11-28,70589561.0,70589561.0,4601199.0,,,-42001185.0,-9017511.0,-32983674.0,,-37399986,-241083.0,26261.0,-37641069,,-37641069,-267565.0,-37908634,,-37908634,-37908634,-1424.164578652755
AWRE,2017-12-31,512152,USD,2017,FY,2018-02-28,2019-02-19,21814000.0,21877000.0,15465000.0,-875000.0,14590000.0,-15065000.0,-7296000.0,-7769000.0,,-475000,437000.0,401000.0,-38000,1582000.0,1544000,-543000.0,1001000,,1001000,1001000,-1.1845386533665836
AWRE,2018-12-31,512152,USD,2018,FY,2019-02-19,2019-02-19,21544000.0,21605000.0,16131000.0,-1240000.0,14891000.0,-14579000.0,-7474000.0,-7105000.0,,312000,844000.0,844000.0,1156000,69000.0,1225000,8000.0,1233000,,1233000,1233000,0.3696682464454976
AWRE,2019-12-31,512152,USD,2019,FY,2020-02-18,2021-02-17,21523000.0,21523000.0,12204000.0,-1261000.0,10943000.0,-15121000.0,-7193000.0,-7928000.0,,-4178000,1049000.0,1049000.0,-3129000,,-3129000,-5211000.0,-8340000,,-8340000,-8340000,-3.9828408007626313
AWRE,2020-12-31,512152,USD,2020,FY,2021-02-17,2022-03-15,21473000.0,21473000.0,11309000.0,-810000.0,10499000.0,-19923000.0,-10830000.0,-9093000.0,,-9424000,176000.0,176000.0,-9248000,,-9248000,1634000.0,-7614000,,-7614000,-7614000,-53.54545454545455
AXDX,2016-12-31,1250895,USD,2016,FY,2017-02-28,2019-03-01,51276000.0,51276000.0,246000.0,,,-66747000.0,-37183000.0,-29564000.0,,-66501000,394000.0,494000.0,-66107000,,-66107000,-267000.0,-66374000,,-66374000,-66374000,-134.6174089068826
AXDX,2017-12-31,1250895,USD,2017,FY,2018-03-01,2020-02-28,54073000.0,54073000.0,4177000.0,-1002000.0,3175000.0,-67359000.0,-45058000.0,-22301000.0,,-64184000,649000.0,908000.0,-63535000,,-63535000,-493000.0,-64028000,,-64028000,-64028000,-70.68722466960352
AXTI,2019-12-31,704072,USD,2019,FY,2020-03-12,2022-03-15,39487000.0,39487000.0,83256000.0,-58431000.0,24825000.0,-25139000.0,-19305000.0,-5834000.0,,-314000,-712000.0,217000.0,-1026000,,-1026000,-562000.0,-1588000,,-2600000,-2600000,-1.4470046082949308
BEAM,2018-12-31,1253264,USD,2018,FY,2019-03-31,2020-03-30,6018364.0,6018364.0,,,,-45741000.0,-11868000.0,-33873000.0,,-45741000,292000.0,292000.0,-45449000,-61249000.0,-106698000,,-106698000,,-105217000,-117325000,-156.6472602739726
BGNE,2016-12-31,734219,USD,2016,FY,2017-03-22,2018-02-28,31046408.0,31046408.0,1070000.0,,,-118130000.0,-20097000.0,-98033000.0,0.0,-117060000,826000.0,383000.0,-116234000,-2929000.0,-119163000,-54000.0,-119217000,,-119217000,-119217000,-305.6396866840731
BGNE,2018-12-31,734219,USD,2018,FY,2019-02-28,2021-02-25,55440384.0,55440384.0,198220000.0,-28705000.0,169515000.0,-875284000.0,-195385000.0,-679005000.0,-894000.0,-705769000,15940000.0,13947000.0,-689829000,,-689829000,15796000.0,-674033000,,-673769000,-673769000,-50.60364236036423
